,user,job_name,node_id,count,mean_core
0,a07smr01,A2REPO,7,1,12.412155820348273
1,a07smr01,A2REPO,33,1,3.937672265531632
2,a07smr01,A2REPO,35,59,4.375294502529239
3,a07smr01,A2REPO,46,24,2.406067726093192
4,a07smr01,ARCHIVE,7,1,11.895912125535574
5,a07smr01,ARKI,33,7,5.76609015147425
6,a07smr01,ARKI,35,81,4.299855824811743
7,a07smr01,ARKI,46,27,3.992452516777059
8,a07smr01,INIT,33,4,4.631090150697052
9,a07smr01,INIT,35,78,3.5251549853576196
10,a07smr01,INIT,37,1,23.0829566960988
11,a07smr01,INIT,46,23,3.561852501875449
12,a07smr01,INIT,48,1,4.337865369962934
14,a07smr01,INIT,51,1,59.355148528859424
15,a07smr01,LM28_OPE,1,1,23.289646121196803
16,a07smr01,LM28_OPE,2,1,23.289646121196803
17,a07smr01,LM28_OPE,6,1,23.289646121196803
18,a07smr01,LM28_OPE,33,2,19.07357273258673
19,a07smr01,LM28_OPE,34,5,21.18371934553671
20,a07smr01,LM28_OPE,35,5,21.796172575632703
21,a07smr01,LM28_OPE,36,15,16.880195311063133
22,a07smr01,LM28_OPE,37,73,23.381544326852794
23,a07smr01,LM28_OPE,38,45,21.368911594493532
24,a07smr01,LM28_OPE,40,68,23.05228389041432
25,a07smr01,LM28_OPE,42,69,23.154929582228718
26,a07smr01,LM28_OPE,44,1,23.289646121196803
27,a07smr01,LM28_OPE,46,47,22.90530489909672
28,a07smr01,LM28_OPE,47,72,18.94074683631569
29,a07smr01,LM28_OPE,48,57,21.399051037749828
30,a07smr01,LM28_OPE,49,71,18.98911776789712
31,a07smr01,LM28_OPE,50,101,20.512533313608913
32,a07smr01,LM28_OPE,51,34,22.702200901839653
33,a07smr01,LM28_OPE,52,6,26.902069832610284
34,a07smr01,LM28_OPE,54,52,17.12397370920305
35,a07smr01,LM28_OPE,56,62,19.98593388037556
36,a07smr01,LM28_OPE,57,95,21.56957630755358
37,a07smr01,LM28_OPE,58,62,25.375330286817817
38,a07smr01,LM28_OPE,59,60,25.03966985232994
39,a07smr01,LM28_OPE,60,46,17.83320961961251
40,a07smr01,LM28_OPE,61,37,24.448276055030384
41,a07smr01,LM28_OPE,62,65,19.17672173659007
42,a07smr01,LM28_OPE,63,65,19.17672173659007
43,a07smr01,LM7_OPE,1,1,16.164855370980824
44,a07smr01,LM7_OPE,2,1,16.164855370980824
45,a07smr01,LM7_OPE,6,1,16.164855370980824
46,a07smr01,LM7_OPE,33,1,16.164855370980824
47,a07smr01,LM7_OPE,34,7,15.434921230766516
48,a07smr01,LM7_OPE,35,8,15.150331760959057
49,a07smr01,LM7_OPE,36,18,9.186216567699383
50,a07smr01,LM7_OPE,37,75,9.629653503259606
51,a07smr01,LM7_OPE,38,49,8.921687020589035
52,a07smr01,LM7_OPE,40,71,9.574422647495869
53,a07smr01,LM7_OPE,42,72,9.468467111469806
54,a07smr01,LM7_OPE,44,1,16.164855370980824
55,a07smr01,LM7_OPE,46,46,10.428235254851957
56,a07smr01,LM7_OPE,47,67,9.898682950295798
57,a07smr01,LM7_OPE,48,63,8.77046081103525
58,a07smr01,LM7_OPE,49,67,9.876402668672075
59,a07smr01,LM7_OPE,50,99,9.195800689827731
60,a07smr01,LM7_OPE,51,33,9.562556527914943
